Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"RL","Land Use","41","China, mainland","5110","Area","6610","Agricultural land","1000 ha","467148.08","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","214","China, Taiwan Province of","5110","Area","6610","Agricultural land","1000 ha","867.41","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","44","Colombia","5110","Area","6610","Agricultural land","1000 ha","44275.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","45","Comoros","5110","Area","6610","Agricultural land","1000 ha","114.56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","46","Congo","5110","Area","6610","Agricultural land","1000 ha","10555.42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","47","Cook Islands","5110","Area","6610","Agricultural land","1000 ha","4.59","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","48","Costa Rica","5110","Area","6610","Agricultural land","1000 ha","1995.79","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","107","Côte d'Ivoire","5110","Area","6610","Agricultural land","1000 ha","18591.64","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","98","Croatia","5110","Area","6610","Agricultural land","1000 ha","1572.95","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","49","Cuba","5110","Area","6610","Agricultural land","1000 ha","6029.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","50","Cyprus","5110","Area","6610","Agricultural land","1000 ha","206.73","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","167","Czechia","5110","Area","6610","Agricultural land","1000 ha","3796.59","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","51","Czechoslovakia","5110","Area","6610","Agricultural land","1000 ha","6957.72","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","116","Democratic People's Republic of Korea","5110","Area","6610","Agricultural land","1000 ha","2518.1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","250","Democratic Republic of the Congo","5110","Area","6610","Agricultural land","1000 ha","26441.81","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","54","Denmark","5110","Area","6610","Agricultural land","1000 ha","2807.14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","72","Djibouti","5110","Area","6610","Agricultural land","1000 ha","1456.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","55","Dominica","5110","Area","6610","Agricultural land","1000 ha","20.14","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","56","Dominican Republic","5110","Area","6610","Agricultural land","1000 ha","2456.2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","58","Ecuador","5110","Area","6610","Agricultural land","1000 ha","6571.97","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","59","Egypt","5110","Area","6610","Agricultural land","1000 ha","3040.49","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","60","El Salvador","5110","Area","6610","Agricultural land","1000 ha","1310.72","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","61","Equatorial Guinea","5110","Area","6610","Agricultural land","1000 ha","314.28","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","178","Eritrea","5110","Area","6610","Agricultural land","1000 ha","7528","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","63","Estonia","5110","Area","6610","Agricultural land","1000 ha","976.61","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","209","Eswatini","5110","Area","6610","Agricultural land","1000 ha","1309.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","238","Ethiopia","5110","Area","6610","Agricultural land","1000 ha","33794.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","62","Ethiopia PDR","5110","Area","6610","Agricultural land","1000 ha","58361.53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","65","Falkland Islands (Malvinas)","5110","Area","6610","Agricultural land","1000 ha","1170.87","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","64","Faroe Islands","5110","Area","6610","Agricultural land","1000 ha","3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","66","Fiji","5110","Area","6610","Agricultural land","1000 ha","351.4","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","67","Finland","5110","Area","6610","Agricultural land","1000 ha","2447.72","A","Aggregate, may include official, semi-official, estimated or calculated data"
