Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"RL","Land Use","199","Slovakia","5110","Area","6610","Agricultural land","1000 ha","2107.56","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","198","Slovenia","5110","Area","6610","Agricultural land","1000 ha","559.01","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","25","Solomon Islands","5110","Area","6610","Agricultural land","1000 ha","74.74","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","201","Somalia","5110","Area","6610","Agricultural land","1000 ha","44045.92","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","202","South Africa","5110","Area","6610","Agricultural land","1000 ha","96294.08","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","277","South Sudan","5110","Area","6610","Agricultural land","1000 ha","28374.41","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","203","Spain","5110","Area","6610","Agricultural land","1000 ha","30140.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","38","Sri Lanka","5110","Area","6610","Agricultural land","1000 ha","2388.35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","276","Sudan","5110","Area","6610","Agricultural land","1000 ha","68189.84","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","206","Sudan (former)","5110","Area","6610","Agricultural land","1000 ha","120140.57","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","207","Suriname","5110","Area","6610","Agricultural land","1000 ha","72.03","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","210","Sweden","5110","Area","6610","Agricultural land","1000 ha","3433.26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","211","Switzerland","5110","Area","6610","Agricultural land","1000 ha","1606.71","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","212","Syrian Arab Republic","5110","Area","6610","Agricultural land","1000 ha","13938.17","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","208","Tajikistan","5110","Area","6610","Agricultural land","1000 ha","4655.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","216","Thailand","5110","Area","6610","Agricultural land","1000 ha","18854.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","176","Timor-Leste","5110","Area","6610","Agricultural land","1000 ha","311.98","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","217","Togo","5110","Area","6610","Agricultural land","1000 ha","3285.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","218","Tokelau","5110","Area","6610","Agricultural land","1000 ha","0.51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","219","Tonga","5110","Area","6610","Agricultural land","1000 ha","32.1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","220","Trinidad and Tobago","5110","Area","6610","Agricultural land","1000 ha","77.78","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","222","Tunisia","5110","Area","6610","Agricultural land","1000 ha","9224.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","223","Turkey","5110","Area","6610","Agricultural land","1000 ha","38781.59","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","213","Turkmenistan","5110","Area","6610","Agricultural land","1000 ha","34700.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","224","Turks and Caicos Islands","5110","Area","6610","Agricultural land","1000 ha","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","227","Tuvalu","5110","Area","6610","Agricultural land","1000 ha","1.93","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","226","Uganda","5110","Area","6610","Agricultural land","1000 ha","11896.77","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","230","Ukraine","5110","Area","6610","Agricultural land","1000 ha","41487.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","225","United Arab Emirates","5110","Area","6610","Agricultural land","1000 ha","326.77","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","229","United Kingdom of Great Britain and Northern Ireland","5110","Area","6610","Agricultural land","1000 ha","18089.67","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","215","United Republic of Tanzania","5110","Area","6610","Agricultural land","1000 ha","32518.53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","231","United States of America","5110","Area","6610","Agricultural land","1000 ha","422591.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","240","United States Virgin Islands","5110","Area","6610","Agricultural land","1000 ha","10.08","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","234","Uruguay","5110","Area","6610","Agricultural land","1000 ha","15020.77","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","228","USSR","5110","Area","6610","Agricultural land","1000 ha","551088.42","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","235","Uzbekistan","5110","Area","6610","Agricultural land","1000 ha","26468.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","155","Vanuatu","5110","Area","6610","Agricultural land","1000 ha","151.08","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","236","Venezuela (Bolivarian Republic of)","5110","Area","6610","Agricultural land","1000 ha","21048.53","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","237","Viet Nam","5110","Area","6610","Agricultural land","1000 ha","8095.1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","243","Wallis and Futuna Islands","5110","Area","6610","Agricultural land","1000 ha","5.37","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","205","Western Sahara","5110","Area","6610","Agricultural land","1000 ha","5002.9","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","249","Yemen","5110","Area","6610","Agricultural land","1000 ha","23503.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","248","Yugoslav SFR","5110","Area","6610","Agricultural land","1000 ha","14407.26","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","251","Zambia","5110","Area","6610","Agricultural land","1000 ha","21364.54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","181","Zimbabwe","5110","Area","6610","Agricultural land","1000 ha","13690.24","A","Aggregate, may include official, semi-official, estimated or calculated data"
