Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2011","2011","1000 ha","1137026.544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2012","2012","1000 ha","1135804.2818","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2013","2013","1000 ha","1137064.582","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2014","2014","1000 ha","1132926.51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2015","2015","1000 ha","1131877.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2016","2016","1000 ha","1129276.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2017","2017","1000 ha","1131035.5938","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2018","2018","1000 ha","1128210.8045","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6610","Agricultural land","2019","2019","1000 ha","1127759.8045","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2010","2010","1000 ha","1624344.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2011","2011","1000 ha","1621682.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2012","2012","1000 ha","1619021.45","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2013","2013","1000 ha","1616360.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2014","2014","1000 ha","1613698.65","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2015","2015","1000 ha","1611037.25","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2016","2016","1000 ha","1608023.35","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2017","2017","1000 ha","1604222.0886","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2018","2018","1000 ha","1601863.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6646","Forest land","2019","2019","1000 ha","1599319.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2010","2010","1000 ha","3110341.5118","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2011","2011","1000 ha","3110331.0847","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2012","2012","1000 ha","3110345.9846","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2013","2013","1000 ha","3110285.6683","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2014","2014","1000 ha","3110193.7221","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5300","Asia","5110","Area","6601","Land area","2015","2015","1000 ha","3110597.18","A","Aggregate, may include official, semi-official, estimated or calculated data"
