Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2011","2011","1000 ha","672108.76","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2012","2012","1000 ha","668202.15","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2013","2013","1000 ha","664295.54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2014","2014","1000 ha","660388.93","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2015","2015","1000 ha","656482.32","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2016","2016","1000 ha","652481.3843","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2017","2017","1000 ha","648548.99","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2018","2018","1000 ha","644618.828","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6646","Forest land","2019","2019","1000 ha","640608.55","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2010","2010","1000 ha","1140587.05","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2011","2011","1000 ha","1137026.544","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2012","2012","1000 ha","1135804.2818","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2013","2013","1000 ha","1139248.582","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2014","2014","1000 ha","1134762.51","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2015","2015","1000 ha","1133582.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2016","2016","1000 ha","1130849.85","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2017","2017","1000 ha","1132609.5938","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2018","2018","1000 ha","1129785.8045","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5200","Americas","5110","Area","6602","Agriculture","2019","2019","1000 ha","1129334.8045","A","Aggregate, may include official, semi-official, estimated or calculated data"
