Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y1961,Y1961F,Y1962,Y1962F,Y1963,Y1963F,Y1964,Y1964F,Y1965,Y1965F,Y1966,Y1966F,Y1967,Y1967F,Y1968,Y1968F,Y1969,Y1969F,Y1970,Y1970F,Y1971,Y1971F,Y1972,Y1972F,Y1973,Y1973F,Y1974,Y1974F,Y1975,Y1975F,Y1976,Y1976F,Y1977,Y1977F,Y1978,Y1978F,Y1979,Y1979F,Y1980,Y1980F,Y1981,Y1981F,Y1982,Y1982F,Y1983,Y1983F,Y1984,Y1984F,Y1985,Y1985F,Y1986,Y1986F,Y1987,Y1987F,Y1988,Y1988F,Y1989,Y1989F,Y1990,Y1990F,Y1991,Y1991F,Y1992,Y1992F,Y1993,Y1993F,Y1994,Y1994F,Y1995,Y1995F,Y1996,Y1996F,Y1997,Y1997F,Y1998,Y1998F,Y1999,Y1999F,Y2000,Y2000F,Y2001,Y2001F,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F,Y2018,Y2018F,Y2019,Y2019F
"5304","South-eastern Asia","6610","Agricultural land","5110","Area","1000 ha","83105.740000","A","83637.950000","A","84272.870000","A","84969.020000","A","85308.340000","A","85708.130000","A","86252.680000","A","86581.300000","A","86695.940000","A","87236.010000","A","86417.780000","A","87578.030000","A","88201.890000","A","89438.470000","A","90230.140000","A","91204.620000","A","92264.740000","A","92850.610000","A","93666.110000","A","94249.140000","A","94864.790000","A","95501.790000","A","95738.440000","A","95099.120000","A","98694.750000","A","101165.900000","A","104604.400000","A","106111.800000","A","107109.700000","A","107962.600000","A","104672.700000","A","104590.700000","A","105293.600000","A","105270.100000","A","106319.200000","A","106716.300000","A","107315.900000","A","107473.900000","A","109859.300000","A","111699.900000","A","113186.200000","A","113672.700000","A","116823.040000","A","119973.100000","A","119000.270000","A","119306.250000","A","121549.000000","A","123579.300000","A","126451.100000","A","127496.540000","A","128795.830000","A","130113.630000","A","131233.170000","A","131433.760000","A","133770.829900","A","136707.260000","A","138864.560000","A","138804.560000","A","138961.433600","A"
"5304","South-eastern Asia","6620","Cropland","5110","Area","1000 ha","66995.740000","A","67484.950000","A","68190.870000","A","68900.020000","A","69267.340000","A","69675.130000","A","70156.680000","A","70462.300000","A","70613.940000","A","71138.010000","A","70353.780000","A","71502.030000","A","72140.890000","A","73339.470000","A","74173.140000","A","75203.620000","A","76225.740000","A","76790.610000","A","77618.110000","A","78166.140000","A","78748.790000","A","79307.790000","A","79544.440000","A","79639.120000","A","82440.750000","A","84512.900000","A","87301.400000","A","88891.800000","A","89231.700000","A","90230.600000","A","88267.700000","A","88088.700000","A","88790.600000","A","88731.100000","A","89736.200000","A","90336.300000","A","90866.900000","A","90978.900000","A","93412.300000","A","95092.900000","A","96551.200000","A","96947.700000","A","100110.040000","A","103141.100000","A","102061.270000","A","102383.950000","A","104637.600000","A","106678.900000","A","109564.700000","A","110617.140000","A","111927.430000","A","113246.230000","A","114369.770000","A","114572.360000","A","116909.429900","A","119849.860000","A","122010.060000","A","121950.460000","A","122108.033600","A"
"5304","South-eastern Asia","6621","Arable land","5110","Area","1000 ha","53060.740000","A","53285.950000","A","53498.870000","A","53749.020000","A","53891.340000","A","54097.130000","A","54292.680000","A","54514.300000","A","54610.940000","A","54967.010000","A","54196.780000","A","55064.030000","A","55442.890000","A","56303.470000","A","56701.140000","A","57374.620000","A","58236.740000","A","58580.610000","A","58970.110000","A","59168.140000","A","59508.790000","A","59853.790000","A","59936.440000","A","59999.120000","A","61896.750000","A","62946.900000","A","64420.400000","A","64597.800000","A","64330.700000","A","63670.600000","A","61558.500000","A","61361.500000","A","61252.400000","A","59901.900000","A","59971.000000","A","60385.100000","A","60726.700000","A","60650.700000","A","61919.100000","A","62908.700000","A","63096.000000","A","62697.500000","A","64866.840000","A","67291.900000","A","65540.070000","A","64501.850000","A","65307.500000","A","66400.500000","A","67958.600000","A","68117.340000","A","68181.830000","A","69050.330000","A","69311.070000","A","69450.060000","A","70646.669900","A","72057.560000","A","73211.460000","A","73143.960000","A","72885.933600","A"
"5304","South-eastern Asia","6650","Land under permanent crops","5110","Area","1000 ha","13935.000000","A","14199.000000","A","14692.000000","A","15151.000000","A","15376.000000","A","15578.000000","A","15864.000000","A","15948.000000","A","16003.000000","A","16171.000000","A","16157.000000","A","16438.000000","A","16698.000000","A","17036.000000","A","17472.000000","A","17829.000000","A","17989.000000","A","18210.000000","A","18648.000000","A","18998.000000","A","19240.000000","A","19454.000000","A","19608.000000","A","19640.000000","A","20544.000000","A","21566.000000","A","22881.000000","A","24294.000000","A","24901.000000","A","26560.000000","A","26709.200000","A","26727.200000","A","27538.200000","A","28829.200000","A","29765.200000","A","29951.200000","A","30140.200000","A","30328.200000","A","31493.200000","A","32184.200000","A","33455.200000","A","34250.200000","A","35243.200000","A","35849.200000","A","36521.200000","A","37882.100000","A","39330.100000","A","40278.400000","A","41606.100000","A","42499.800000","A","43745.600000","A","44195.900000","A","45058.700000","A","45122.300000","A","46262.760000","A","47792.300000","A","48798.600000","A","48806.500000","A","49222.000000","A"
"5304","South-eastern Asia","6655","Land under perm. meadows and pastures","5110","Area","1000 ha","16110.000000","A","16153.000000","A","16082.000000","A","16069.000000","A","16041.000000","A","16033.000000","A","16096.000000","A","16119.000000","A","16082.000000","A","16098.000000","A","16064.000000","A","16076.000000","A","16061.000000","A","16099.000000","A","16057.000000","A","16001.000000","A","16039.000000","A","16060.000000","A","16048.000000","A","16083.000000","A","16116.000000","A","16194.000000","A","16194.000000","A","15460.000000","A","16254.000000","A","16653.000000","A","17303.000000","A","17220.000000","A","17878.000000","A","17732.000000","A","16405.000000","A","16502.000000","A","16503.000000","A","16539.000000","A","16583.000000","A","16380.000000","A","16449.000000","A","16495.000000","A","16447.000000","A","16607.000000","A","16635.000000","A","16725.000000","A","16713.000000","A","16832.000000","A","16939.000000","A","16922.300000","A","16911.400000","A","16900.400000","A","16886.400000","A","16879.400000","A","16868.400000","A","16867.400000","A","16863.400000","A","16861.400000","A","16861.400000","A","16857.400000","A","16854.500000","A","16854.100000","A","16853.400000","A"
"5304","South-eastern Asia","6646","Forest land","5110","Area","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"245136.466900","A","242972.813600","A","240809.160200","A","238645.506900","A","236481.853500","A","234318.200200","A","232154.546900","A","229990.893500","A","227827.240200","A","225663.586800","A","223499.933500","A","223071.060100","A","222642.186800","A","222213.313500","A","221784.440200","A","221355.566900","A","220926.693600","A","220497.820300","A","220068.947000","A","219640.073700","A","219211.200400","A","217881.152600","A","216551.104800","A","215221.057000","A","213891.009200","A","212560.961400","A","212480.505500","A","210663.780000","A","209601.100000","A","208538.720000","A"
"5304","South-eastern Asia","6646","Forest land","72151","Carbon stock in living biomass","million tonnes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21521.860900","A","21415.866600","A","21309.872200","A","21203.877800","A","21097.883400","A","20991.889000","A","20885.894600","A","20779.900300","A","20673.905900","A","20567.911500","A","20461.917100","A","20402.613200","A","20343.309300","A","20284.005400","A","20224.701400","A","20165.397500","A","20106.093600","A","20046.789700","A","19987.485700","A","19928.181800","A","19868.877900","A","19777.568900","A","19686.259900","A","19594.950900","A","19503.641900","A","19412.333000","A","19386.183300","A","19216.064700","A","19113.813000","A","19008.684100","A"
"5304","South-eastern Asia","6717","Naturally regenerating forest","5110","Area","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"238596.016900","A","235944.946600","A","233293.876200","A","230642.805900","A","227991.735500","A","225340.665200","A","222689.594900","A","220038.524500","A","217387.454200","A","214736.383800","A","212085.313500","A","211374.857100","A","210664.400800","A","209953.944500","A","209243.488200","A","208533.031900","A","207822.575600","A","207112.119300","A","206401.663000","A","205691.206700","A","204980.750400","A","203102.962600","A","201225.174800","A","199347.387000","A","197469.599200","A","195591.811400","A","194474.095500","A","193377.000000","A","192310.820000","A","191244.950000","A"
"5304","South-eastern Asia","6716","Planted Forest","5110","Area","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6540.450000","A","7027.867000","A","7515.284000","A","8002.701000","A","8490.118000","A","8977.535000","A","9464.952000","A","9952.369000","A","10439.786000","A","10927.203000","A","11414.620000","A","11696.203000","A","11977.786000","A","12259.369000","A","12540.952000","A","12822.535000","A","13104.118000","A","13385.701000","A","13667.284000","A","13948.867000","A","14230.450000","A","14778.190000","A","15325.930000","A","15873.670000","A","16421.410000","A","16969.150000","A","18006.410000","A","17286.780000","A","17290.280000","A","17293.780000","A"
"5304","South-eastern Asia","6670","Other land","5110","Area","1000 ha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82534.933100","A","87988.486400","A","90234.139800","A","91694.893100","A","93882.046500","A","94996.599800","A","96763.153100","A","98327.206500","A","100332.859800","A","100111.113200","A","105586.066500","A","104531.639900","A","104420.513200","A","101652.246500","A","98919.259800","A","100591.663100","A","100721.856400","A","98889.379700","A","97290.853000","A","94843.926300","A","94276.759600","A","94309.717400","A","94325.465200","A","94484.106000","A","95650.130800","A","94644.308700","A","91758.734500","A","91421.060000","A","92542.540000","A","93443.246400","A"
